Question,Option A,Option B,Option C,Option D,Correct Option
What is the name of the first month of the Islamic calendar?,Muharram,Safar,Rabi al-awwal,Rabi al-thani,A
زیر زمین پانی جب اونچا ہو کر زمین کی سطح تک آجاتا ہے تو اسے کہتے ہیں؟,میدان,دلدل,سیم و تھور,کنواں,C
قرآن مجید میں سب سے چھوٹی سورت کونسی ہے؟,سورۃ الکوثر,سورۃ الفلق,سورۃ الناس,سورۃ الاخلاص,A
قرآن مجید میں آخری وحی کونسی سورت میں آئی ہے؟,سورۃ التوبہ,سورۃ النصر,سورۃ العصر,سورۃ المائدہ,B
قرآن مجید کتنے عرصہ میں نازل ہوئی ؟,23,21,24,22,A
قرآن مجید میں کتنے مساجد کا ذکر ایا ہے؟,2,4,5,3,B
قرآن مجید میں کس سورت میں بسم اللہ دو دفعہ آئی ہے؟,سورۃ الفاتحہ,سورۃ التوبہ,سورۃ النمل,سورۃ الرحمن,C
قرآن مجید میں مکی سورتیں کتنی ہیں؟,86,87,88,89,A
قرآن مجید میں مدنی سورتیں کتنی ہیں؟,20,28,24,26,B
قرآن مجید کی زینت کونسی سورت ہے؟,سورۃ البقرہ,سورۃ الفاتحہ,سورۃ الرحمن,سورۃ یس,C
قرآن مجید میں حضرت محمد کا نام کونسی سورت میں آیا ہے؟,سورۃ محمد,سورۃ النصر,سورۃ الاحزاب,سورۃ النور,A
سب سے آخری نبی تھے ؟,حضرت محمد,حضرت ابراہیم,حضرت موسیٰ,حضرت عیسیٰ,A
حضرت آدم کا ذکر قرآن مجید میں کتنے بار آیا ہے؟,20,30,25,15,B
کسی پیغمبر کو صفی اللہ کا لقب دیا گیا ہے؟,حضرت آدم,حضرت یوسف,حضرت ابراہیم,حضرت موسیٰ,A
موسی اور ہارون کے آپس میں رشتہ ہے؟,ماموں بھانجا,والد بیٹا,چچا بھتیجا,بھائی,D
قرآن مجید میں حضرت موسی کا ذکر کتنے بار آیا ہیں؟,125,136,132,130,B
ابوالبشر کس پیغمبر کو کہا جاتا ہے؟,حضرت موسیٰ,حضرت نوح,حضرت آدم,حضرت ابراہیم,C
قرآن مجید میں کل رکوع ہیں؟,544,547,546,545,D
لفظ اللہ قرآن پاک میں کتنے بار آیا ہیں؟,3000,2600,2709,2704,B
قرآن مجید میں کتنے سورتیں انبیاء کرام کے نام ہیں؟,5,6,7,8,B
کس نے فارسی زبان مین قرآن مجید کا ترجمہ کیا ؟,شاہ ولی اللہ,احمد رضا خان,مولانا قاسم نانوتوی,شاہ عبدالعزیز,A
 پاکستان کا پہلا دار حکومت دار الخلافہ کا نام تھا؟,کراچی,لاہور,اسلام آباد,راولپنڈی,A
چانگامانگا کا جنگل کس شہر کے قریب واقع ہے؟,کراچی,لاہور,اسلام آباد,راولپنڈی,B
کونسا تاریخی درہ کوہ ہندوکش پہاڑی سلسلے میں واقع ہے؟,درہ خنجراب,درہ بولان,درہ خیبر,درہ کوہ سلیمان,C
عالمی بینک کی مدد سے ستمبر 1960 میں پاکستان اور بھارت کے درمیان معاہدے کا نام تھا ؟,شملہ معاہدہ,واٹر ٹریٹی,سندھ طاس معاہدہ,امن معاہدہ,C
کس علاقے میں ہوائی الودگی زیادہ ہوتی ہے؟,صنعتی,زرعی,آبی,پہاڑی,A
پاکستان چین سے بذریعہ سڑک ملا ہوا ہے اس راستے کو کہتے ہے؟,شاہراہِ کشمیر,شاہراہِ قراقرم,شاہراہِ پاکستان,شاہراہِ برصغیر,B
پاکستان کے شمال میں واخان کی پٹی اسے کس ملک سے جدا کرتی ہے؟,بھارت,چین,تاجکستان,ایران,C
پاکستان کی ایران کے ساتھ سرحد کی لمبائی ہے؟,805 کلومیٹر,900 کلومیٹر,832 کلومیٹر,1000 کلومیٹر,C
